SN,D2104L018-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OFFSET_TX,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OFFSET_RX,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCENTER,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DR,-8.5,12.5,0,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC,Board,1,PARA,8,4,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELESGAINM,RX,Board,1,Channel,2,TBL,13.37995227,12.8146691,12.46373529,12.13885451,11.57379635,11.02706398,10.4363897,9.763134926,9.144670415,8.550060186,8.124854615,7.680003527,6.971608716,6.261103193,6.418666705,5.952890207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSPHASE,RX,Board,1,Channel,2,TBL,-139.3465409,-133.73047,-131.7339195,-126.4480572,-117.6356138,-111.7725837,-109.8367722,-104.23814,-95.10535819,-89.01807089,-87.08788123,-81.12346216,-73.24597512,-67.18067685,-65.16480768,-58.99163279,-53.2227472,-47.28966224,-45.427615,-39.49371781,-31.49726271,-25.87040078,-23.63288754,-17.81966694,-8.18537069,-2.770522555,-0.207058618,5.206781108,13.55248709,18.91778443,21.55296001,26.85215442,38.41638218,44.1080132,45.72988751,51.11631625,60.61295416,66.30388777,67.83551346,73.36142429,82.1765505,87.90901665,89.71731437,95.51429205,103.9497431,109.7251269,111.6466547,117.4117662,125.6182225,131.2553189,132.7267269,138.4671865,146.2835567,151.7370989,153.4213743,158.8894182,167.373258,172.7038296,174.7354078,179.9902587,-171.9426652,-166.7834091,-164.5463292,-159.5379567
COMSGAINM,TX,Board,1,Channel,3,TBL,19.08704239,17.83913902,16.61510371,15.76341064,14.33372306,13.99050006,12.96164106,12.29608117,11.17527432,9.98235345,8.756972164,7.886764778,6.469182085,6.446696285,6.455877201,6.466000692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELESGAINM,TX,Board,1,Channel,3,TBL,19.08704239,18.56550537,18.09498358,17.58158984,17.03307692,16.53727816,16.06406014,15.66615198,15.2928033,14.76272257,14.24708761,13.59165272,13.03093597,12.45738081,11.87414173,11.39722321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSPHASE,TX,Board,1,Channel,3,TBL,146.6612913,153.130588,158.8337175,164.7859215,168.8301176,174.7448352,-179.2857573,-173.9043455,-169.6018373,-163.9899624,-157.3277041,-151.7821555,-148.1228274,-142.7978627,-135.9385656,-130.3067405,-129.7172484,-124.2526467,-118.1926749,-112.408809,-109.905743,-104.3446698,-98.03919694,-92.09308487,-88.45211857,-82.52712334,-75.75954974,-69.65152487,-67.79665676,-61.68437969,-54.70416587,-48.78415859,-42.93536083,-36.51671127,-31.71297825,-25.74966601,-21.55600526,-15.45702181,-10.10978166,-4.426575437,-0.40613174,5.358719749,12.07914009,17.87241975,22.2100436,27.9899437,35.33169493,41.33771412,45.01666389,51.03531984,57.06225752,63.57057269,67.24703777,73.63516783,79.6722944,86.43185074,90.64491207,97.38367682,103.9539236,110.8203296,113.540287,120.4148571,126.6841073,133.3105206
COMSGAINM,RX,Board,1,Channel,3,TBL,12.59651955,11.55230996,10.85789608,9.841974625,8.568548574,7.56102924,6.856211344,5.78075339,4.62605492,3.453897704,2.567693868,1.156704769,0.590101798,-0.456715939,-1.126997903,-2.18157321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELESGAINM,RX,Board,1,Channel,3,TBL,12.59651955,12.0526013,11.68671907,11.33633104,10.7832707,10.23046487,9.609212156,9.02017193,8.428293446,7.834829133,7.350507926,6.90815944,6.207185423,5.480372608,5.60892085,5.128515648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSPHASE,RX,Board,1,Channel,3,TBL,-133.0196933,-127.4052982,-125.4571417,-120.0637596,-111.2470527,-105.3779664,-103.6371581,-97.89995922,-88.94112119,-82.73913343,-81.02151957,-74.90343677,-67.08193574,-60.89612259,-59.06327082,-52.83087276,-47.26543349,-41.30654045,-39.50890661,-33.31127087,-25.4226591,-19.86211346,-17.68646807,-11.80427806,-2.261515806,3.198743551,5.714633561,11.21761457,19.56313684,24.92977824,27.58505876,32.79381611,44.51892605,50.34585985,51.76161343,57.2693679,66.79137187,72.50807433,74.01295044,79.59556981,88.25200445,94.16837077,95.90838121,101.7949029,110.2264369,116.0507817,117.8504338,123.7730522,131.4847681,137.2585086,138.5638324,144.4743774,152.2655676,157.654695,159.3834282,164.977477,173.1904079,178.5958396,-179.4280846,-174.0081483,-165.9317744,-160.8542937,-158.6573931,-153.5039406
COMSGAINM,TX,Board,1,Channel,4,TBL,20.94010353,19.71061403,18.50258476,17.63125722,16.17514021,15.86516782,14.79758099,14.13805839,13.03704856,11.78372131,10.5773434,9.747349699,8.293303337,8.300785779,8.289550271,8.248591548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELESGAINM,TX,Board,1,Channel,4,TBL,20.94010353,20.42330341,19.8804454,19.36313397,18.78586811,18.27643974,17.72937366,17.40031127,17.04982639,16.51134728,15.95799094,15.33493188,14.76694406,14.17217696,13.5633239,13.17903661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSPHASE,TX,Board,1,Channel,4,TBL,153.4512195,159.7428393,165.4066808,171.1117951,175.5687478,-178.6754547,-172.7736778,-167.391349,-162.7120304,-157.0750353,-150.5494932,-145.1568849,-141.1380915,-135.796092,-129.2072983,-123.4545436,-122.934847,-117.5962,-111.5484972,-105.720994,-102.894363,-97.24716251,-91.15369214,-85.16266034,-81.05083801,-75.06502195,-68.4252429,-62.51740558,-60.17973613,-54.09233399,-47.22549829,-41.41032519,-35.73815525,-29.40792404,-24.75031024,-18.85035693,-14.33880719,-8.39959729,-3.219589116,2.410993701,6.935720773,12.68667541,19.05987726,24.73279966,29.49757237,35.15039863,42.25276398,48.32637031,52.81092157,58.73639659,64.62999696,71.03875087,74.93465473,81.32815723,87.09300596,93.81836403,98.31422422,105.0047909,111.1123962,117.8189396,120.9842424,127.7052853,133.6698575,140.087494
COMSGAINM,RX,Board,1,Channel,4,TBL,13.5054593,12.46056905,11.7794747,10.76808927,9.490634572,8.446952306,7.782824106,6.695889126,5.528179706,4.333614759,3.488785245,2.084830103,1.485343118,0.474891802,-0.205611581,-1.2936016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELESGAINM,RX,Board,1,Channel,4,TBL,13.5054593,12.9446355,12.58490011,12.26002087,11.69637607,11.1349333,10.56954253,9.967324984,9.334137445,8.735101523,8.280791255,7.85822899,7.095721259,6.368692848,6.737761245,6.088091515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSPHASE,RX,Board,1,Channel,4,TBL,-134.6568671,-128.9071602,-127.1409345,-121.7229605,-112.855216,-107.0458274,-105.2593144,-99.55401005,-90.62319102,-84.45114152,-82.65084623,-76.46871848,-68.63296809,-62.44963193,-60.57491615,-54.37432996,-48.54352909,-42.58860434,-40.83012428,-34.76795224,-26.83028616,-21.16941372,-18.90441345,-13.25555313,-3.573223288,1.921323064,4.465726992,9.86806217,18.33210085,23.74883684,26.36704363,31.62905693,42.98035108,48.93253037,50.33507478,55.89720423,65.33539404,71.18235127,72.58882664,78.24257879,86.82522784,92.77255274,94.3601126,100.231682,108.8129521,114.4199244,116.4097088,122.2058335,130.1436555,135.864477,137.2095344,143.0253425,150.8844447,156.3146662,157.8514892,163.462738,171.7072291,177.1111313,179.0119747,-175.579393,-167.6634694,-162.4160803,-160.1795778,-154.9683527
END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
