SN,D20469000-39
OFFSET_TX,0,0,0,0
OFFSET_RX,0,0,0,0
FCENTER,39
DR,-4.0,11.0,3.0,18.0
COMDR,TX,Board,1,TBL,3.0,11.0
ELEDR,TX,Board,1,Range,7.0
COMDR,RX,Board,1,TBL,-4.0,4.0
ELEDR,RX,Board,1,Range,7.0
TEMPADC,1000
TC,Board,1,PARA,7,24,3,25
COMSGAINM,TX,Board,1,Channel,1,TBL,17.918664645131045,16.941917467206295,15.835484448479953,14.735241161035349,13.756911957563275,12.767995701885685,12.016307398439224,11.280666900079952,10.268220998301445,9.21264515495986,7.965331938698053,6.704959778845636,5.587336451253247,4.443388693930268,3.5035456604044235,2.558710605531293
ELESGAINM,TX,Board,1,Channel,1,TBL,17.918664645131045,17.37663483632006,16.812178589523917,16.283114774724684,15.706605798509472,15.170402361457738,14.655218298665265,14.263874935391705,14.168220698575947,13.646722964680782,13.273290754071454,12.755413085485145,12.039399680697914,11.666938031623955,11.147141977371447,10.576538551029046
PSPHASE,TX,Board,1,Channel,1,TBL,148.3487887193884,154.4583399125822,162.0700211711111,167.77347274314187,173.5567268867077,179.88250869317085,-172.13578448078823,-165.59719765252404,-156.50711506333784,-149.86561152883579,-143.43134919677848,-134.70167052288002,-128.7101989736837,-122.32122972974231,-119.69158975801993,-113.99788492868343,-105.85297868455466,-98.98852488054034,-95.18654333598293,-91.93722968703102,-84.15878756787389,-78.9173180623145,-72.93131934856652,-66.41122472649415,-62.374163486027825,-56.68083048682243,-51.01690918405672,-46.068468579233546,-40.68444493796643,-37.65869276181371,-34.096465205573594,-30.073347788909373,-24.25025946235623,-21.382361934001686,-11.81811941820472,-8.435175443474629,-2.6971565706338674,1.7633645712036798,8.763987751215708,16.585915415438297,21.883422257631626,28.101336596140445,34.063058221440116,39.606336140009866,46.36638411693933,50.93214517821084,54.94071185190706,59.604472575268574,63.27566530548775,69.68166386029922,73.38785743308603,78.56364370446079,83.71806324087598,87.6724341340601,94.95841467807301,101.20269703160358,108.36404930002135,114.29271362967486,118.39320430131383,125.2450130834526,129.9406500390405,135.43432400850344,139.3710789973021,141.6851488272648
RELATIVECOMPS,TX,Board,1,Channel,1,TBL,-24.25025946235623,-23.752780298327487,-23.24878402859223,-22.62416679810222,-22.238686548132446,-21.77065604679608,-21.34637319935213,-21.04089088905487,-20.6843497716702,-20.212619202731698,-19.79536413786754,-19.206186807866402,-18.946995679304038,-18.514927229573637,-18.330726960807485,-18.14771063943844
RELATIVEELEPS,TX,Board,1,Channel,1,TBL,-24.25025946235623,-23.763768347443914,-23.23507649965798,-22.78789849462373,-22.67138991897617,-22.320427767421563,-21.854857628704544,-21.62040067326961,-21.721023786602267,-21.313824237878837,-21.019108943512595,-20.628856722230875,-20.441104575550916,-20.161916668080607,-19.791506958161396,-19.331517304565892
RELATIVEGAIN,TX,Board,1,Channel,1,TBL,19.17998113377091,18.910782623294228,17.95474378043188,18.510269679523933,18.67857204391371,18.892273134263778,18.94404191548255,19.045708663327993,19.125320573225903,19.282692981667434,19.197097225993286,19.011823191202467,18.722295100688594,18.572217781694217,18.567248612061967,18.650917286403143,18.076617128677437,18.578663566538317,18.69082526760375,18.815285478508915,19.13678233755326,19.386382073266734,19.632054421537287,19.647734598944325,19.837763384476368,19.96147867954204,19.79754901201401,19.761335382813172,19.393263882571446,19.681018316165154,19.17857670578118,19.16037900641767,17.918664645131045,19.004769787938645,18.680988280628874,18.807804758852143,19.02834015830773,19.22494810115666,19.220220465083177,19.484421361537006,19.78912894420611,19.86051211988674,19.65027941149588,19.603436858517384,19.594482234906966,19.44317638525276,19.40257662520973,19.48752919581272,18.6951237599787,18.917610620873717,19.06901663314265,19.71917774770622,19.9701535858383,20.211004937930866,20.41264755442284,20.687543281591147,20.501546041374873,20.55028338083202,20.496514281656694,20.204699842439723,20.201516228198585,19.868168151323708,19.719438176956665,19.663939868624617
COMSGAINM,RX,Board,1,Channel,1,TBL,12.229106378264243,11.084939664872643,10.01711113832708,8.940064705694441,8.163886256877007,7.461527305507581,6.340727165357337,5.231799025717448,4.07325738440513,2.986598977169202,1.7582483444104868,0.5220270448776417,-0.46843009425647947,-1.3639048054503575,-2.856502891941491,-4.352048079464064
ELESGAINM,RX,Board,1,Channel,1,TBL,12.229106378264243,11.67954360742769,11.177726692231149,10.655197659576537,10.17517371952875,9.341667178845846,8.812947190878656,8.328550181850144,7.955889913039988,7.287300725744591,6.802758819890549,6.435884674828971,5.958463273120427,5.8887340697091926,5.526104835290495,5.0440210861014165
PSPHASE,RX,Board,1,Channel,1,TBL,-90.75846867775321,-85.85790549482589,-77.94254485658064,-72.56210919515384,-67.42821442647566,-61.57623005756631,-54.1521892156499,-48.66213221508273,-41.21082528543117,-35.607514930587534,-30.302076295088405,-23.22779296112769,-18.295120946362765,-12.766396065052929,-10.481274793548893,-5.501927302447613,2.4928280980153708,8.965304603137502,12.439487881036179,15.6300774563625,22.98411893645119,27.722200811022567,33.61428062718762,40.429022684991736,44.33821397547361,50.63143953715975,56.9570337510401,62.694491042822854,69.8059739509895,73.42365024299895,78.00133894879002,82.91043263593765,88.95566025957035,92.34958596175181,100.98343479282107,104.81304766128999,111.10912687813143,116.19159879585727,123.88211889122313,132.6874627609554,138.3064602935469,144.8660929113045,151.26411354089268,156.9476783672185,164.04195472164014,168.78423527381602,173.28163954257653,178.29952375393322,-175.9182811042446,-168.79681241465482,-164.77033238113174,-158.9562720140869,-153.2726267399946,-149.18120268364083,-141.93624180337935,-135.51330687891317,-129.26370305737566,-123.38566375554724,-119.4474860612004,-112.81299550087728,-107.65883462695567,-102.06605902281572,-98.28390608323183,-95.91723986584552
RELATIVECOMPS,RX,Board,1,Channel,1,TBL,88.95566025957035,89.71462021881435,90.42572141348997,91.19736126581908,91.67435747388004,92.09119944604048,92.78177611191524,93.48219115821729,94.22902388755432,94.81190946921065,95.50951575184045,96.26362600152031,96.7078337503974,96.9826097020953,97.68487054926266,98.17069848229934
