SN,B19483200-24,DP1DTK2LA
OFFSET,0,0,10,5,0,0,0,10 
1,1,1,0.0,0.0,1,4,46,0.2570248094103842,1.0478197685561939

1,1,1,0.0,5.0,1,4,47,0.155257910643878,6.353866978246967

1,1,1,0.0,10.0,2,1,47,-0.13822324830078928,7.0187678324452545

1,1,1,0.0,15.0,0,7,48,0.0987708265003158,19.452365064846468

1,1,1,0.0,20.0,0,7,48,0.0987708265003158,19.452365064846468

1,1,1,0.0,25.0,2,1,48,-0.3718109555773925,21.291637320872816

1,1,1,0.0,30.0,1,4,49,-0.011460462490691391,31.18319597968238

1,1,1,0.0,35.0,1,4,50,0.15564744755950197,35.62730347205512

1,1,1,0.0,40.0,2,1,51,0.039024428691587246,40.3307938487301

1,1,1,0.0,45.0,2,1,52,0.06608015679071952,43.53548293224028

1,1,1,0.0,50.0,0,4,54,0.09753651227283276,51.03393890084062

1,1,1,0.0,55.0,1,1,55,-0.060502029807636304,55.462334530267164

1,1,1,0.0,60.0,1,1,56,-0.003982458032162373,59.09467883620604

1,1,1,0.0,65.0,1,1,58,0.14525968486163046,66.41173903421377

1,1,1,0.0,70.0,1,1,59,0.27708994744086357,69.71253975222875

1,1,1,0.0,75.0,1,1,60,0.19047193183811106,74.00137839218438

1,1,1,0.0,80.0,1,1,62,0.19953622281041222,80.03648259012657

1,1,1,0.0,85.0,1,1,63,0.03497633671125642,83.16694905167437

1,1,1,0.0,90.0,0,1,63,-0.5200695520847786,83.65317185996447

1,1,1,0.0,95.0,0,7,0,-0.028782341994970474,100.35043278677333

1,1,1,0.0,100.0,0,7,0,-0.028782341994970474,100.35043278677333

1,1,1,0.0,105.0,3,1,0,0.2988952298332891,102.48455059635559

1,1,1,0.0,110.0,2,1,0,-0.4162244458028218,102.74622883409604

1,1,1,0.0,115.0,0,10,1,0.502515291809788,120.74610750018628

1,1,1,0.0,120.0,2,4,1,0.19636030447567904,122.68737156370015

1,1,1,0.0,125.0,0,7,2,-0.18770901859517874,125.48248108801353

1,1,1,0.0,130.0,3,1,3,0.03592717589791561,130.94290677586082

1,1,1,0.0,135.0,3,1,4,0.021740202415147517,134.66538285849032

1,1,1,0.0,140.0,3,1,5,0.19130970177537615,140.25745069210197

1,1,1,0.0,145.0,3,1,6,0.14122227822242622,144.93440705075793

1,1,1,0.0,150.0,3,1,7,0.18987843072758692,149.70548073918596

1,1,1,0.0,155.0,1,4,8,-0.1899740014380302,153.8760171950978

1,1,1,0.0,160.0,1,4,9,-0.08364523929182219,158.60336640625476

1,1,1,0.0,165.0,1,4,10,0.04382724185699836,163.74753233668469

1,1,1,0.0,170.0,2,1,11,-0.06371469265921996,169.25539360204797

